Pig,Treatment,Growth,Days,Feed_cost_USD_21d,Thr_cost_USD_21d
1,GPF120,Slow,21,19.4943,0.30933
2,GPF80,Fast,21,20.4432,0.01406
4,GPF100,Slow,21,12.9059,0.11537
5,GPF100,Fast,21,18.0386,0.14546
6,GPF80,Fast,21,19.7437,0.01358
7,GPF100,Fast,21,17.0986,0.13746
8,CPF100,Slow,21,13.5333,0.12066
9,CPF100,Medium,21,19.7144,0.17576
10,GPF140,Fast,21,19.3271,0.44608
11,CPF100,Medium,21,15.4742,0.13796
12,GPF80,Medium,21,20.5652,0.01511
13,CPF100,Fast,21,18.2374,0.16259
15,CPF100,Slow,21,17.4841,0.15588
17,GPF140,Fast,21,16.9746,0.39182
18,GPF120,Fast,21,18.0951,0.26804
19,GPF120,Fast,21,19.6474,0.29084
20,GPF140,Slow,21,16.6915,0.38008
21,CPF100,Fast,21,20.9414,0.1867
22,GPF120,Medium,21,16.5513,0.26477
23,GPF80,Medium,21,19.283,0.01432
24,GPF80,Slow,21,18.08,0.01393
25,GPF100,Slow,21,16.9626,0.15088
26,GPF100,Medium,21,15.3424,0.13661
27,GPF80,Slow,21,14.4222,0.0111
28,GPF80,Slow,21,16.0401,0.01234
29,GPF120,Fast,21,18.1115,0.26588
30,GPF120,Medium,21,17.629,0.28384
31,GPF120,Medium,21,18.1435,0.29039
32,GPF120,Fast,21,19.3398,0.28666
33,CPF100,Slow,21,15.0136,0.13385
34,GPF140,Medium,21,19.2399,0.41295
35,GPF100,Fast,21,19.4525,0.15634
36,GPF100,Fast,21,18.2809,0.14698
37,GPF100,Slow,21,17.5217,0.15621
38,GPF140,Medium,21,19.773,0.42536
39,GPF80,Fast,21,16.2811,0.01136
41,GPF100,Slow,21,18.3818,0.16367
43,GPF100,Medium,21,19.8761,0.17718
45,GPF140,Fast,21,18.1488,0.41821
46,CPF100,Medium,21,17.1683,0.15306
47,GPF80,Slow,21,14.1752,0.01091
48,CPF100,Fast,21,21.0204,0.18741
50,GPF100,Medium,21,18.1362,0.16145
51,GPF140,Medium,21,19.7653,0.42495
52,GPF120,Medium,21,20.1719,0.32352
54,GPF80,Fast,21,21.4103,0.0149
55,GPF140,Slow,21,20.5164,0.46411
56,GPF120,Slow,21,19.1599,0.30528
58,GPF100,Medium,21,13.6303,0.12155
59,GPF140,Medium,21,19.605,0.4201
60,CPF100,Slow,21,16.7703,0.14951
61,GPF120,Slow,21,16.5408,0.26328
64,GPF80,Medium,21,16.642,0.01237
65,GPF140,Slow,21,17.2634,0.39054
66,CPF100,Fast,21,22.0665,0.19673
68,GPF140,Slow,21,20.4686,0.46564
69,GPF120,Slow,21,17.5491,0.27877
71,CPF100,Medium,21,17.4611,0.15567
72,GPF140,Fast,21,18.0708,0.41704
