Pig,Sex,Treatment,Growth,Phase,Age_start,Age_end,Days,BW_start_kg,BW_end_kg,ADG_kg_d,Relative_growth_pct_d,Gain_per_initial_BW_pct_d
2,M,GPF80,Fast,Birth-weaning,0,21,21,2.02,7.665,0.268809523809524,6.35031905195554,13.3074021687883
5,M,GPF100,Fast,Birth-weaning,0,21,21,1.755,8.76,0.333571428571429,7.65584308585938,19.006919006919
6,M,GPF80,Fast,Birth-weaning,0,21,21,1.79,8.42,0.315714285714286,7.3733057542932,17.6376695929769
7,F,GPF100,Fast,Birth-weaning,0,21,21,1.595,9.235,0.363809523809524,8.36250894006855,22.8093745335125
10,M,GPF140,Fast,Birth-weaning,0,21,21,1.285,6.43,0.245,7.66769438048736,19.0661478599222
13,F,CPF100,Fast,Birth-weaning,0,21,21,1.41,8.445,0.335,8.52373736128422,23.758865248227
17,F,GPF140,Fast,Birth-weaning,0,21,21,1.21,7.34,0.291904761904762,8.58437372865607,24.1243604879969
18,M,GPF120,Fast,Birth-weaning,0,21,21,1.09,6.66,0.265238095238095,8.61877042052974,24.3337702053298
19,F,GPF120,Fast,Birth-weaning,0,21,21,1.395,7.57,0.294047619047619,8.05380310560014,21.0786823690049
21,M,CPF100,Fast,Birth-weaning,0,21,21,1.3,6.575,0.251190476190476,7.71862054093494,19.3223443223443
29,M,GPF120,Fast,Birth-weaning,0,21,21,1.135,7.045,0.281428571428571,8.69374044960608,24.7954688483323
32,F,GPF120,Fast,Birth-weaning,0,21,21,1.325,6.475,0.245238095238095,7.55493403879722,18.5085354896676
35,M,GPF100,Fast,Birth-weaning,0,21,21,1.015,6.6,0.265952380952381,8.91514779304109,26.202205019939
36,F,GPF100,Fast,Birth-weaning,0,21,21,1.65,7.215,0.265,7.02565192530164,16.0606060606061
39,F,GPF80,Fast,Birth-weaning,0,21,21,1.51,7.8,0.29952380952381,7.81911468032721,19.836013875749
45,M,GPF140,Fast,Birth-weaning,0,21,21,1.435,8.21,0.322619047619048,8.30565749644168,22.4821635971462
48,F,CPF100,Fast,Birth-weaning,0,21,21,2.01,8.255,0.297380952380952,6.7270683585767,14.7950722577588
54,F,GPF80,Fast,Birth-weaning,0,21,21,1.72,7.7,0.284761904761905,7.1376001811156,16.5559246954596
66,M,CPF100,Fast,Birth-weaning,0,21,21,1.91,10.025,0.386428571428571,7.89513681492426,20.2318623784592
72,F,GPF140,Fast,Birth-weaning,0,21,21,1.805,8.21,0.305,7.21329681752139,16.8975069252078
9,F,CPF100,Medium,Birth-weaning,0,21,21,1.42,8.41,0.332857142857143,8.47030763034137,23.4406438631791
11,F,CPF100,Medium,Birth-weaning,0,21,21,1.51,8.235,0.320238095238095,8.077541489537,21.207820876695
12,M,GPF80,Medium,Birth-weaning,0,21,21,1.3,6.13,0.23,7.38490707371728,17.6923076923077
22,F,GPF120,Medium,Birth-weaning,0,21,21,1.435,6.57,0.24452380952381,7.2445189680235,17.0399867263979
23,M,GPF80,Medium,Birth-weaning,0,21,21,1.865,6.68,0.229285714285714,6.07550921167988,12.2941401761777
26,F,GPF100,Medium,Birth-weaning,0,21,21,1.38,8.345,0.331666666666667,8.56942408545088,24.0338164251208
30,M,GPF120,Medium,Birth-weaning,0,21,21,1.325,6.5,0.246428571428571,7.57328436887336,18.5983827493261
31,M,GPF120,Medium,Birth-weaning,0,21,21,1.36,7.145,0.27547619047619,7.899657674447,20.2556022408964
34,M,GPF140,Medium,Birth-weaning,0,21,21,1.42,5.67,0.202380952380952,6.59301069584044,14.2521797451375
38,F,GPF140,Medium,Birth-weaning,0,21,21,1.26,7.98,0.32,8.78965090713491,25.3968253968254
43,F,GPF100,Medium,Birth-weaning,0,21,21,1.595,8.165,0.312857142857143,7.77610947707438,19.61486789073
46,M,CPF100,Medium,Birth-weaning,0,21,21,1.36,8.26,0.328571428571429,8.59018994183298,24.1596638655462
50,M,GPF100,Medium,Birth-weaning,0,21,21,1.33,6.685,0.255,7.68898699200116,19.1729323308271
51,F,GPF140,Medium,Birth-weaning,0,21,21,1.495,4.76,0.15547619047619,5.51486410190799,10.3997451823539
52,F,GPF120,Medium,Birth-weaning,0,21,21,1.57,7.775,0.295476190476191,7.61827542240515,18.8201395207765
58,M,GPF100,Medium,Birth-weaning,0,21,21,1.895,7.775,0.28,6.72235533109956,14.7757255936675
59,M,GPF140,Medium,Birth-weaning,0,21,21,1.72,7.55,0.277619047619048,7.04392034493129,16.140642303433
64,F,GPF80,Medium,Birth-weaning,0,21,21,1.7,9.375,0.36547619047619,8.13056343235383,21.4985994397759
71,M,CPF100,Medium,Birth-weaning,0,21,21,1.885,7.535,0.269047619047619,6.59824291037374,14.2730832386005
1,M,GPF120,Slow,Birth-weaning,0,21,21,0.975,6.485,0.262380952380952,9.02290297977475,26.9108669108669
4,F,GPF100,Slow,Birth-weaning,0,21,21,1.16,5.565,0.209761904761905,7.46703323623445,18.0829228243021
8,M,CPF100,Slow,Birth-weaning,0,21,21,0.96,6.37,0.257619047619048,9.01153078144918,26.8353174603175
15,M,CPF100,Slow,Birth-weaning,0,21,21,1.28,7.39,0.290952380952381,8.34889360489802,22.7306547619048
20,F,GPF140,Slow,Birth-weaning,0,21,21,1.525,7.825,0.3,7.78728250650877,19.672131147541
24,M,GPF80,Slow,Birth-weaning,0,21,21,1.445,7.51,0.288809523809524,7.84821973434118,19.9868182567145
25,F,GPF100,Slow,Birth-weaning,0,21,21,1.355,7.2,0.278333333333333,7.9537122461445,20.5412054120541
27,M,GPF80,Slow,Birth-weaning,0,21,21,1.44,7.845,0.305,8.07253939331946,21.1805555555556
28,F,GPF80,Slow,Birth-weaning,0,21,21,1.25,7.4,0.292857142857143,8.46826880426626,23.4285714285714
33,F,CPF100,Slow,Birth-weaning,0,21,21,1.22,6.84,0.267619047619048,8.20922320423473,21.935987509758
37,M,GPF100,Slow,Birth-weaning,0,21,21,1.715,4.16,0.116428571428571,4.21953330312033,6.78883798417326
41,M,GPF100,Slow,Birth-weaning,0,21,21,1.4,7.45,0.288095238095238,7.9606752179536,20.578231292517
47,F,GPF80,Slow,Birth-weaning,0,21,21,1.51,6.43,0.234285714285714,6.89935660677474,15.515610217597
55,M,GPF140,Slow,Birth-weaning,0,21,21,1.83,9.245,0.353095238095238,7.71317570469409,19.2948217538381
56,F,GPF120,Slow,Birth-weaning,0,21,21,1.43,7.64,0.295714285714286,7.97963409003149,20.6793206793207
60,F,CPF100,Slow,Birth-weaning,0,21,21,1.655,5.52,0.184047619047619,5.73608024504751,11.1207020572579
61,F,GPF120,Slow,Birth-weaning,0,21,21,1.405,5.295,0.185238095238095,6.31774131556029,13.1842060667683
65,F,GPF140,Slow,Birth-weaning,0,21,21,2.04,9.01,0.331904761904762,7.07326316078153,16.2698412698413
68,M,GPF140,Slow,Birth-weaning,0,21,21,1.675,6.545,0.231904761904762,6.48994397183254,13.8450604122246
69,M,GPF120,Slow,Birth-weaning,0,21,21,1.005,6.68,0.270238095238095,9.01966879065484,26.8893627102582
2,M,GPF80,Fast,Weaning-selection,21,65,44,7.665,31.1,0.532613636363636,3.18305297013957,6.94864496234359
5,M,GPF100,Fast,Weaning-selection,21,65,44,8.76,32.1,0.530454545454546,2.95150028451743,6.05541718555417
6,M,GPF80,Fast,Weaning-selection,21,65,44,8.42,35,0.604090909090909,3.23804143917086,7.17447635499892
7,F,GPF100,Fast,Weaning-selection,21,65,44,9.235,31.2,0.499204545454545,2.76685791173689,5.40557168873357
10,M,GPF140,Fast,Weaning-selection,21,65,44,6.43,31.3,0.565227272727273,3.5969171802195,8.7904708044677
13,F,CPF100,Fast,Weaning-selection,21,65,44,8.445,30.6,0.503522727272727,2.92596695158766,5.96237687711933
17,F,GPF140,Fast,Weaning-selection,21,65,44,7.34,31.7,0.553636363636364,3.32494963240184,7.54272974981422
18,M,GPF120,Fast,Weaning-selection,21,65,44,6.66,31.6,0.566818181818182,3.5387219000922,8.51078351078351
19,F,GPF120,Fast,Weaning-selection,21,65,44,7.57,34.2,0.605227272727273,3.42734676504364,7.99507625795605
21,M,CPF100,Fast,Weaning-selection,21,65,44,6.575,32.9,0.598295454545455,3.65954109024431,9.09955063947459
